Antigua and Barbuda|St. John’s
The Bahamas|Nassau
Barbados|Bridgetown
Belize|Belmopan
Canada|Ottawa
Costa Rica|San José
Cuba|Havana
Dominica|Roseau
Dominican Republic|Santo Domingo
El Salvador|San Salvador
Grenada|St. George’s
Guatemala|Guatemala City
Haiti|Port-au-Prince
Honduras|Tegucigalpa
Jamaica|Kingston
Mexico|Mexico City
Nicaragua|Managua
Panama|Panama City
Saint Kitts and Nevis|Basseterre
Saint Lucia|Castries
Saint Vincent and the Grenadines|Kingstown
Trinidad and Tobago|Port of Spain
United States|Washington, D.C.
Argentina|Buenos Aires
Bolivia|La Paz, Sucre
Brazil|Brasília
Chile|Santiago
Colombia|Bogotá
Ecuador|Quito
French Guiana|Cayenne
Guyana|Georgetown
Paraguay|Asunción
Peru|Lima
Suriname|Paramaribo
Uruguay|Montevideo
Venezuela|Caracas
