dupa1;11.31;6;2019-12-04;21:37:34.156515;Luxembourg
dupa2;28.14;6;2019-12-04;21:37:52.356513;Maseru
dupa3;3.51;1;2019-12-04;21:38:27.418527;Baku
dzian;55.39;7;2019-12-04;22:19:58.663745;Ljubljana
papa;35.95;6;2019-12-04;22:21:06.216424;Prague
asd;16.31;8;2019-12-04;22:22:59.344432;London
asdasd;20.40;3;2019-12-04;22:22:59.344432;London
ss;20.41;;2019-12-04;22:22:59.344432;London
dd;20.42;;2019-12-04;22:22:59.343432;London
dd;20.43;;2019-12-03;22:22:59.344433;London
TESTOWE;23.78;12;2019-12-05;11:05:53.997177;Copenhagen
TEST2;10.57;12;2019-12-05;11:06:46.454755;Budapest
fffff;18.32;10;2019-12-05;11:11:38.605523;Sofia
nowe;12.39;11;2019-12-05;11:17:30.626276;Budapest
hhhhh;15.45;7;2019-12-06;09:24:44.187524;Bern
srsrsrsr;7.10;8;2019-12-06;09:28:14.986770;Tbilisi
srrrrrrrrrr;9.30;9;2019-12-06;09:29:41.152034;Tirana
dupaaaaa;7.99;8;2019-12-06;13:07:25.959679;Prague
dupkamint;12.12;10;2019-12-09;11:32:48.935296;Tbilisi
dupaaaaaa;11.31;8;2019-12-09;12:18:29.928412;London
y;6.22;7;2019-12-09;12:35:24.589214;Oslo
